         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10658    0.027    0.000    0.066    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:365(_set_axis)
    34106    0.026    0.000    0.026    0.000 /usr/lib/python3.6/_weakrefset.py:70(__contains__)
     1525    0.026    0.000    0.053    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexing.py:2441(maybe_convert_indices)
     7584    0.026    0.000    0.228    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:4639(__init__)
      110    0.025    0.000    0.025    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
   282287    0.025    0.000    0.025    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/compat/__init__.py:60(memoryview_at)
    35950    0.024    0.000    0.024    0.000 {built-in method __new__ of type object at 0x9cff80}
      599    0.023    0.000    0.071    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/frame.py:1095(<listcomp>)
15863/15227    0.023    0.000    0.668    0.000 /home/stefan/PycharmProjects/Sokrates3.1/simmix.py:193(apply_sim_fun)
    28353    0.023    0.000    0.122    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:227(is_datetimetz)
      166    0.023    0.000    0.029    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    37534    0.023    0.000    0.088    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:369(is_datetime64tz_dtype)
   101658    0.023    0.000    0.023    0.000 {method 'replace' of 'str' objects}
     6476    0.022    0.000    0.244    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:4036(_try_cast)
     3097    0.022    0.000    0.105    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:257(maybe_promote)
     3521    0.022    0.000    0.022    0.000 {method 'get_sfnt' of 'matplotlib.ft2font.FT2Font' objects}
     1932    0.021    0.000    0.664    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:402(_get_axis_resolvers)
    10930    0.021    0.000    0.030    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:4362(__getattr__)
46962/46961    0.021    0.000    0.027    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:641(__len__)
      432    0.021    0.000    0.021    0.000 {built-in method io.open}
 6762/966    0.020    0.000    0.839    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/expr.py:307(visit)
     3651    0.020    0.000    0.040    0.000 /home/stefan/PycharmProjects/Sokrates3.1/simmix.py:524(common_words_sim)
     5069    0.020    0.000    0.092    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:867(maybe_infer_to_datetimelike)
     3864    0.020    0.000    0.606    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:1179(to_series)
     4457    0.020    0.000    0.059    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pyprover/logic.py:395(simplify)
    26810    0.020    0.000    0.020    0.000 {method 'view' of 'numpy.ndarray' objects}
   127539    0.020    0.000    0.040    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:868(<genexpr>)
      192    0.020    0.000    3.600    0.019 {pandas._libs.reduction.reduce}
       16    0.020    0.001    0.509    0.032 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/allennlp/nn/initializers.py:98(block_orthogonal)
